 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oggbyboyyybgboorwgorrybgogywwwyrrgyybwbwgorgbwowrwobrr   
Co  5  	Before:    oyrrbbyyorowrwygwwbobrrwrrrwbbbyoyyyywbwoboowogggggggg   	After:    ooroowyworgwwybggwbrbrgyrbrwybrwwyyyygbbboogwoygrrogbg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    browbryrrrwwwwgrwoggwyrygyrbbyrybwowobbyoogogygybgoogb   
Co  5  	Before:    rwywbbbbbyworryrrrwoooybyygbrbyobyowworrwygwwggggggogo   	After:    roywrobrbywoobbrbrwwoywbybgbgbrgyygwwgrryyggwgwgyoooro   
Co  5  	Before:    rwgwrrybwryrrbrobbbbywwrwwwrbwygygggggbgygyybyoooooooo   	After:    rogyggyowrgryoyobbbwygygwrwrbwrrrgyggobwwryobywowbbobo   
Co  5  	Before:    yyyygoowwwrgywgwwwrwrwooooogrggygyyroggrrobrrbbbbbbybb   	After:    yyyrogorwwygwwowwwryrgbgooogbgryoybrobgyggbbrbrborwywb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rbrygrwwbooyywggwrobgyobwggyyyoygobgbrbrrowgoyrbwborww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bbbbwwbwwygogobyrggowygbwygroorrgryywwrrbobwgoyrryoogy   
Co  5  	Before:    brggwbbogrwrbbgybbwowoogooyoborgroggwwwwrwrrbryyyyyyyg   	After:    bygrywbygrgrrrrybbwgwwgwobyobobogowgwywobgrybrryowoyog   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yyowwbogwbogggoowgrobwryygwybrrbobrrgbwyowbggwroyyrybr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gogwbbobwbyoowobwrgwoyrbwgrygrrygbgrwrwwobyyyoobrgygry   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrwbbywybroygwggrbogborwyorowgoyywroowgrowwbyrbrygbggb   
Co  5  	Before:    rwrybybwoobwbryrrrbrboywyyywryooroowbbybwogwwggggggogg   	After:    rgrgrgbgooowbborrrbwbbwyybywryogwobwbyyoyrgrwgwgyoyowg   
Co  5  	Before:    gbrbrwygwrygrgwwggrrbgyryyywryybbbbwrwbywgowogoooooboo   	After:    gyrwgwygwrogyogwogrbbrywywywgygrrbbwrobywbooogboybrbro   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ogyoyrowywoborbwrrrgoogygwobwygoybrygggbbygrrbbwywbrww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrwgoyggowyyggwyowgbrbwbgoobwrobgbrrgorrywbrobyobrwyyw   
Co  5  	Before:    oybwooyboboyggwggggyobwgwwbwbgwbgrbbwoooyyyyyrrrrrrrrw   	After:    orbywoyrobbywgggbggwoorywobwgggbwrobwrobogyryryrwyyrbw   
Co  5  	Before:    wgggwobwgrgwboboooobrrgrggywobwrwgrrorwobwbbbyyyyyyyyr   	After:    wygbbrbygrrwwowoooogrowwgoywobbrbggroywryrbybygyggbywr   
Co  5  	Before:    yrbbbwryywboyyoryybbowooooowwbbwywwwrrbrrorrgygggggggg   	After:    ybbgygryywgoygorgybrowooorowybbbywrwrobrrorbgywgwwbgwg   
Co  5  	Before:    yyybyrygrboyyoygoobbrobrbbbgrggrbrrroooyggggwowwwwwwww   	After:    ywygboywrbrygobgrobbrywgbrbgogyryrorowooyrgwwoywbgbwgw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wyyobobwrorggowwwwyygowgorbogrrroybwbbygywgrgrbbygboyr   
Co  5  	Before:    wywobwrbybrobrbrrrbrbyyyyygoorrowyoobbyowwwwwggggggggo   	After:    wgwrryrgyboobgbrorbgbyyyyggorrrbwyrobwyowwwowgygbowgbo   
Co  5  	Before:    rbrrrwbggywrrbybbbwbggwrwwoyrbygbwgowgryywgyyooooooyog   	After:    rwrrbwbbgyoryrbbobwbgyywwwoygbroywbowgrgwrgyyogoogoyrg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bgwbrrygorowbgoyyrbwowywyrogywgbrywgrybywowrgoogbogrbb   
Co  5  	Before:    ywbrrbwgwrrrwbgobbbyrywywwwybrrgwggggbgrygyybyoooooooo   	After:    yobyrbwowrgrrwwobbbrrrggwbwybrwyggrggogybyyobywowoyogo   
Co  5  	Before:    ybwrrwrrywybggwgggrrgbyyyyyryrgbrbbwggbbwwowwooooooboo   	After:    yywwogrgywobbywgogrrgggwywyrrrbwybbwgobgbroowoboyrrbyo   
Co  5  	Before:    yggyobgwbygogbbbbbwwwyyoyyyooobgoggwboowwyrwwrrrrrrgrr   	After:    yrgybbgrbygoyrobobwwwbyoyyyobowoyggwboogwbrwwrgrrgrgwr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bbygrbwooowgggybwwwygoygrrgowwobwrborybgwryyryrgrobboy   
Co  5  	Before:    bygrrbbygygrwwgwwwwwyrgyggyrrwbyroyorwrbbgybboooooobog   	After:    bygwwgbygygrbrrwwwwoybbggoyrrwwogoyorbrrgyyrbooowybbog   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    grogbobbworoyrwgbbgwwbygroybwoyoorggywyywrrbrwowyggyrb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ygyrbwwrybbbowowrwrbgwrwrrboorgyoobggyrboyogboggygwwyy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rogyygoowyyrrbbrwobowwrbgroobyygrbrwbgbwogrogygywwbgyw   
Co  5  	Before:    oggbyoygroyyyrrbrrbgybgbgggrrbyoroooyogybobbwrwwwwwwww   	After:    owgwrwywrooyywobrrbbyygrgogrrbbyboyoyggybrbgwrgwoobwgw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yyrgwwrbwwybworygboryygwogoborbrrwbggybbbowggowyryorog   
Co  5  	Before:    wwbrworgrwowwbobbbgwoboroogwbogggygggbbwrrrrryyyyyyyyo   	After:    wobrgorbrwywgygbybgwowrroogwgowwoywggbbborrrrygyybyybo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gwygbbwbgbywboybyboworwoyrybrrbrgoogworyyrrgoworwggywg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ggybryrooygwybybowbgoowrgbbbwrggbyrywwgoyrobwrworoygwr   
Co  5  	Before:    ggwbrwryrwbyyyyyyybrgrbgbbbrrywwwwworrbbggwggoooooogoo   	After:    gwwbrwrrrwgyygyyyybrgrygbbbroywbwwoorrbbwgwggoboooogyo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ygrooorgoyrwgwybobbwybbrrrwbygyyggwgoygogwwbyobwrrwrbo   
Co  5  	Before:    goowoywbgooogyoyyyybbwggggwyywowwrwwogbbbybbbrrrrrrrrg   	After:    groryrwrgowobryyyyybbggoggwyywwogrowogbobwbbbrorywwrbg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywoywyrgggwobobbwbyogwgryrbwrrbrgwobggwrbyroyoorgyywbo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gwoywbyygrbroboyywwrgbogbowwgyrgyowyrgbrrwowoborbyggrb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    robyroboyrboygbyrwbyorywgbrwwwgbryobgbwwwgyygogorowrgg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ooyrroryrbgbwyybyowwgobwwrgobbbworyrywygggggowrgrobwby   
Co  5  	Before:    gyrwrbrbybrrrywoyygybgbgbbbwrrywwwwwwrybggggygoooooooo   	After:    gwrgbrrrybyrgygobygwbyowbbbworbwgwowwoyrrwgoygrobgyoyo   
Co  5  	Before:    bwbrbooyrbbyoobyoobbywwywwworworrrrrrywbywyygogggggggg   	After:    bwbyyyoyrbbyoobyoobrywbywoworworrrrrrgwbgwyggoggwwbggg   
Co  5  	Before:    ygroyyyggbooyryrrryrgogbgggyrbyoroowrbobbgobbwwwwwwbww   	After:    yorbrbyrgbwobwgrwryogygygygygboybogwrwoybrowbwowgorbrw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    owbwwbyyyroogborgybrwborobgrogygwwgowrbbrwbggyrgyyywor   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywyyyrbrywwrorgbgwgborgorbrbbgyorbbgogoybwogwrwgowywoy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oogggogygrrrorwbbrwywbwrwwbogbbowwrgyyyoybywryybgbrogo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ybbyggwobobygwgwyooorwobwogywgryrwygogbyrrrwrbogrbwybr   
Co  5  	Before:    goowgwrgryowroyooogggoygyyywworrgrrbyrgywyrwwbbbbbbwbb   	After:    gooworrorybwygyobogwgrwyywywgoobgrobybgrygrbwbrbyrgwwb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wrrooryrrrgwogggywgwgwwogooyyrybbbbobgbyybyroygobrwbww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wrrggwbgboywbwrgyrrrgbowbboyyogyobgwgrybryrooyoywbwgow   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrywryyrobbwrbgwowbobwwgbogrygyggrbworooygrbogbrwowgyy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ggbryoygogwgbrwyoowgyogrbyrorrwobwyywbrybwoybrbwgwogrb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rwwrwwybbgrogoogbgwrrbgowogboyyrgybybgrwbybrwoyryygowo   
Co  5  	Before:    wrgrwrroowbwwowooobbwbgggggoggorgrryrwbwborbbyyyyyybyy   	After:    wrgbwgrgowrwwgoooobywwrwgygoygbbgryyrrboogrrbybywybboy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    owwyyoyyoogbwoorowygrwbrroybgggrrgywwrgwgborybbgbwybbr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrggoyorrwywgyoybogboygrborygowwobwbbyggbwrrrgowbrwwby   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    owyryryybbooroyrwowbbbbwgorrogbrywrgwgoggwwbgygyowgryb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wyrgogygobowbgrrwybwgwwrryyybgbboogwrroyywgobwobbrroyg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ybrrrrwgygybygoryrrgwbyowrggwowboygobwogwobygyrbbobwwo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rbbowbyyobrgggowbwwrwwrwowgrogbbgygryyowoybggrybryryoo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oorwrywyrooyoyryrbbrggbbrrbyggywyowrwbbggbgogowwwobwgy   
Co  5  	Before:    gbbyrwwybrbrwyryyyygwbbrbborwygwybwwrrgggrgggoooooooow   	After:    gwbybwwwbrbrwyryyyygwborbboroygwybowrrggrrgggoboogooyw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ygwwrowwbrrrowywbgyyorggrgygwgoyobgrobgwbbwrboyyborbyo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rrbggbwbooybgrorwryowwwbbrgrygroyobyyrbgyooywggyobwgww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywyrorywbbboyybrbgwwbygyrbgroggwwoygogogbowgbwryororrw   
Co  5  	Before:    oyoyowwgoowbggwgggybyowywwbgbgobbrbbwgboyoyyyrrrrrrrrw   	After:    oborgrwbooyborbgggyyyowowgbgrggowrrbwwboyyybyrwrwbyrgw   
Co  5  	Before:    oggwgowrrgwwyowwoogyygyoyyrrrygrybrrgoorwgwwbobbbbbbby   	After:    obgwwowbrgrwgoowrogyyggyyyrroyrrgbwrgooybwwwbogbbybbry   
Co  5  	Before:    grbrwowogogrgggoggwbwwrwrrrrwwobwbbbobbborooygyyyyyyyy   	After:    ggbowbwggoyrboroygwrwgggrorrowwrwbrboybobwoyygbyrybywy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rbwwbgbgyrrorywwggbyboorybgoygbwwworygwrryboogoobgwyyr   
Co  5  	Before:    wwybbwobbbryowygwworbrryrrrrbrbywyyybowooyoowogggggggg   	After:    wyyowoobbbwyrbygbwobbbowrwrrgrogyygybgworyogworgryrgwg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    roobroogowryrwwyoygbwggggrwbwwyygbbygygobyrwobyrbowbrr   
Co  5  	Before:    rggwrybrbrgrbgboggyryryryyyrywwbgbbbgbwwwywwgwoooooooo   	After:    rbgwybbybrgrrgrorgywywogyyyrowwbybobgowbrbwogwgoywrogo   
Co  5  	Before:    brryybgboyybroywooyogrbybbbybrorgrrrygooggggogwwwwwwww   	After:    brrgyggboyrbrbywboyygorgbbbywroggrwryworoygwogywbwowow   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rrwowybywyrbbrggbboggwbbroyrggyoobbgywrggrywwowwryyooo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywwwwbyyrrgwooywrwgyoogobboggrgrwyyggrbobbybbogrryworb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    owgyywybwryrorbgggbgrrgoyybwogyorwwowrbgbbyryroowwgbbo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oyygygbwgwoyobogrrrwbgrbgobrbgwgrrrowyogoyyyoywwrwbbbw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    grwrybgwbyowwryyryrygggobbyrbwgoggoooyowbrbwbrgobwowyr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    owwwogbywybbbygrryowrygwboybrgowygrywbrrboogwgbooryggr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wyyrwywwgboobbogryygrbobbgbgogwgbygwryryrroowowogywbrr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrgroyobbwrwgbgboyrrywyboyrrgbogogybrwggwyobowwgwroybw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rgobbryobrgowrowwgwybyywobbyrgrobrgyyobywooygrbwggrgww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ryryrbogwyogobowrorygbwggyoygyrgbbgbbrbrywrwogwyboowww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yobwrbgryrygoywbrwoyobborggwwbgwyowyrgyogbbgwrbgroyorw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bryygogyyybrrwwobogybbooworrwowygworwgowrggybyrgrbbwgb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrwobwwybboowyoyowwroboyryogbgrwwyyrowrgrbbrrgggggbygb   
Co  5  	Before:    rwobbyyywrobroyoooobbrwbwwgyobrrowrrwwbbywyyyggggggggr   	After:    roobwyyowrgbrooogoobbbgwwwgyybrrywwrwwbrbbyyygrggyggor   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wrbgorryrgrgbwyybbybrobyrgbygobyowrygwwwgwogobowyrogwo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrogoorywgbbygbybrowgowgwyowwrwbwygogowbyogybrrbrrgyrb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bwgoyrwybgboggywyrwboooggwyyryybwggboboorwyorbrwgwbrrr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ygwwbrwogryywobrybrgrywywbybwgrrbbogorgoyoorybgobgwwgo   
Co  5  	Before:    ybbobobwywrorryrrrbwwoyyyyorwbborgogrboywbowwggggggwgy   	After:    ybbwybbwywrorryrrrbowogyyoorwbborgogrgoybbogwgggywwwgy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gyobggyrrrygwwrbgyyrwwooorrbgwyywgoooybbrgyowrogbbbbww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yboywwbgrwogwggworybbwrywywyrgobggbyorororrggrwbyybboo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yooowbrygyrwogrrrwoywgrbbrybyoobyrgybgggowobwgwrwybgwb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yyrrgbbgwyworyoygbgwwbrrwowgrrgwobyygwrgoboyobyoobwgbr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rwbwywgbwworbrrbrobryygggoboggyoyybgyorobroyowgybwgwwr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrygryrbrbwbrwowrbwbgwgrwboobrwyyyorgyyobyggoggowoowgb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wogwworwrbrwrogggogywrgoyyyobbgryobrogybbbwoyrybwyrbwg   
Co  5  	Before:    gwobwbbgwroorgoggggrwwrwrrrbrrgbbbbywowwogbooyyyyyyoyy   	After:    gooowobgwryowrggyggbwrborbrbgrwowbwywywggbbyoybyryrory   
Co  5  	Before:    rwbbwogrwwgoroboooggorgwggywbborwgrbworgbwybbyyyyyyryr   	After:    rrbgyggbwwwoggworogyorobgyywybrbwgybwororwybbygyowbror   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bwygobgoowyyryogrogrrggrbgwgbrgwobobywrwbyoywowwbryybr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ooyobwwgobwbwwrgrwyrgyryorbobgbyyyorwyrgoogwyrbbbggwgr   
Co  5  	Before:    yybybwwwwboborrrrrorybybyyyoobwoyoogrrrbwbowwggggggwgg   	After:    yobybwwowbybowrrwrorybrbyyyogbwyyoggrrrbobowwgoggggwrg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ogyobywygrrywybwgwrbgoowgwroybgwrbobywgbrrrrboooggbwyy   
Co  5  	Before:    wyywboboyryorrwrrrbbboywyygrbbboyyooorwrwbwwwggggggggo   	After:    wgygogbgyroorbbrbrbwbrywyrgrrbogwyyooywbwywbwgygorwgoo   
Co  5  	Before:    gbwbooyoybygbbybbbowbgygyyyoowoggggrowowwygwwrrrrrrwrr   	After:    grwwowyrybggoygbobobbwgyyoyobwbwygyrorogbggrwrbryrwwor   
Co  5  	Before:    yywgoggywygowyoryygobbgwgggoooowbwwwbwoybbbbybrrrrrrrr   	After:    yrwrorgrwywoybbroygbbwyogwgoyobgwwgwbgoowbboybyrgrgryr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    goryowboyogrrbwggbgoyrywrywbyobgwrbbyrygwbwoworwbrgoyg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gwgbyowgrbywrrrbbyggwggwrwyorygoyobyrorobybyowrbbwoowg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ogwbwoywgrgyorggybrboybrrbwgobgowoygyrbrgwwyoybwrywrob   
Co  5  	Before:    bbwowwgrowbwgooyoobrobggggggwwwrgrrbrwrrboybobyyyyyryy   	After:    bywbgwgyowrwwogywobooryogwggowgrorbbryrbwgyyobbygbrrry   
Co  5  	Before:    gowrgywrrgwggworwwyoggorooorwogygyyyyyowryrrbwbbbbbbbb   	After:    gywbrbwwrgoggwgrrwyrgwgyoyorbogyoybyyoogbrrobwwbyorbwb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wgwoyoobryybyrrybbwbgwgoygyrybworgyoogbgbowbgowrrwwgrr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gowwoogbbywoywgrrwwbgrbybgyrwwoygbbroroygrbggybrwroyyo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wgwbwgybwrorrobwwrboowgrywbgybgryorgoybrbbyogrggyyoowy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wggorroywwgrwgborgbyyryoyrwrogbbbogrrygwwobybywobogywb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yboogwgowwyrwyrgbgbbwyrrogybybgwgboyrgrworooyrrwwbygbo   
Co  5  	Before:    rrgggyogowoyooyooogrroygyybwwgyrwyrryrggwwwwwbbbbbbbbr   	After:    rrgwgrogowoyoyyoooggrorgyybwwgywwyrrybggowwbwbbbybrbbr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wgbbgoroygbbyrggwgrgwyworggrrbworyyoorwyyoyrwobywbwbbo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bwwobrgrryggowgwwgywryrgoryboywyyrrgogobobwobobwygyrbb   
Co  5  	Before:    owbrbybowoyrowrowwbbrbrbrrrybwoyryyybyywowoogwgggggggg   	After:    oybgogbbwowroyroowborwgwryrygwowrygybrybbbobgwygyrrgwg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    brbgoggyywrgrborbooyygybwobobwygywbrrwrowgbrgywgwrwyoo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    orgrggbygygygworyorrryorwwowywbyoywgbwrbroywbwbgbboogb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bogboyboyrwbogrwryrgygwwbyorgogbrgbwwwwwyygogrbobrroyy   
Co  5  	Before:    oyywoggogobowgygggyooowowwwbgwwbbbbrbbwyygbyyrrrrrryrr   	After:    oryrorgrgoboyyggggyyowgywbwbgwowobbrbwwwbbboyryrgrwyor   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywrbwggowwwboogorooybrgrybywgrbroryygwrybgoygwwbbyogrb   
Co  5  	Before:    rogwwrwwbrrogggyggwgwwrbrrrowbrbbbbbwbgooooogoyyyyyyyy   	After:    rogorbwwbrrogggyggwwwwybrrrowbrbbbbbwygowooygoyyrogyyy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bwgbwboybggrrogwgwyrrogobrywbywrygybooyobgwrogwrwyyobr   
Co  5  	Before:    rwowwrgrwwwoorrrrrgbwgbbbbbbobwogoogwgrogbyggyyyyyyoyy   	After:    ryoggggywwoowogrorgwwoybbrbbrborrowgwyrgwbyygywybbbory   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wgggrrrwbgorbyrgrrygobbywbbyyoowrogbgowwgywwyrybbooowy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ggwbgogwborrwogyorygryyygrobrobrybbbyowowgobrgwwwbyyrw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ryrryboywybrgrgobwbrgrgorobygygowwywbwbobwgyygwgrwbooo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rgogwywrwbwgwrrowgrowybrrbwboygobgobbyroggorygbybyyywo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rorbwrwywooogrrrybggwwboogbgbbwowywywrbggooygybyryygbr   
